pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature
8.03,307,0,25,36,120,36,7,11,200,22.48887791
8.03,694,0,121,23,285,42,44,24,451,22.17379342
8.14,364,0,32,17,140,34,13,15,237,24.30342969
8.04,308,0,11,5.17,115,34,15,15,200,22.1408795
7.98,295,0,18,8.98,110,22,13,14,192,24.20962005
8.08,336,0,25,14,130,32,12,14,218,23.78783453
8.04,374,0,14,19,145,28,18,15,243,22.93520868
7.99,261,0,11,25,110,32,7,8,170,23.10806976
8.04,1184,0,142,61,260,24,49,142,770,22.43121444
7.98,684,0,114,21,280,30,50,25,445,23.81251941
8.04,411,0,28,25,160,54,6,17,267,23.70843596
8.09,836,0,110,20,345,60,47,26,543,24.48285343
8.02,1579,0,131,72,420,58,67,127,1026,22.38509462
8.13,532,0,39,22,225,50,24,16,346,24.92918665
7.98,787,0,110,36,290,38,47,41,512,24.74791968
8.06,833,0,99,16,300,40,49,49,541,24.50365927
8.03,1049,0,131,72,375,20,79,63,682,23.20013502
8.1,381,0,25,12,150,46,9,15,248,22.29893387
8.17,946,0,181,36,355,60,50,48,615,22.95363826
8.05,1388,0,231,30,495,54,87,75,902,23.48001365
8.11,1133,0,202,22,425,30,85,51,736,24.29283375
8.13,360,0,43,22,135,38,10,15,234,22.18093139
8.1,511,0,39,49,210,26,35,19,332,23.5496182
7.91,1013,0,60,55,355,24,72,62,658,23.33783145
8.16,544,0,28,13,180,26,28,36,354,23.08763441
8.01,947,0,135,42,270,26,50,85,616,24.75157764
7.23,480,0,46,14,160,26,23,35,312,22.06958219
8.01,606,0,46,5.64,210,16,41,38,394,22.3329168
8.01,2670,0,348,233,890,14,208,168,1736,23.32214346
7.46,720,0,18,14,205,12,43,67,468,24.85755949
8.13,615,0,28,8.9,215,12,45,38,400,22.8777727
8.06,638,0,36,45,140,18,23,76,415,24.43839961
7.5,760,0,25,22,285,20,57,38,494,22.43451678
7.6,847,0,64,15,305,16,64,50,551,23.38020153
7.7,599,0,18,10,160,18,28,58,389,23.11229465
7.97,472,0,36,17,160,20,27,31,307,24.11089046
7.62,494,0,28,17,165,12,33,32,321,24.99405483
7.92,926,0,21,20,140,20,22,140,602,23.39362126
7.53,1267,0,131,81,350,16,75,99,824,23.78288059
7.8,1359,0,107,54,335,20,69,135,883,22.3954642
7.91,1223,0,60,109,285,14,61,140,795,22.86716779
7.96,1577,0,181,63,395,50,66,150,1025,23.23744239
7.86,741,0,53,10,210,20,39,67,482,24.27460518
7.7,1112,0,92,35,285,44,43,109,723,23.31533079
7.5,825,0,78,25,315,20,64,37,536,22.03214861
7.41,1639,0,213,136,440,14,98,150,1065,24.771327
7.7,777,0,43,49,295,44,45,39,505,24.25077283
8.12,486,0,18,9.95,180,16,34,25,316,23.59092742
8.13,552,0,21,4.34,190,8,41,37,359,24.42341117
7.9,2420,0,351,165,645,42,131,224,1573,23.7563412
7.73,607,0,32,20,165,18,29,60,395,23.11139727
7.75,440,0,14,5.65,175,18,32,22,286,23.61501872
7.25,620,0,57,11,225,18,44,35,403,22.10084918
7.5,542,0,32,12,190,26,30,33,352,23.4139349
7.73,252,0,25,11,80,18,9,16,164,24.76295335
7.55,453,0,36,17,165,22,27,22,294,24.19139681
7.91,804,0,39,12,330,26,64,24,523,22.39533241
8.16,680,0,18,8,195,8,43,62,442,22.38828151
7.95,419,0,28,3.75,195,36,26,12,272,24.71242992
7.99,1980,0,227,113,510,80,75,197,1287,22.8710962
7.94,490,0,18,5.6,140,18,23,43,319,23.74802588
8.02,580,0,39,19,195,32,28,36,377,22.62395207
7.79,439,0,21,5.87,165,28,23,25,285,23.70327993
8.16,2500,0,312,178,725,50,146,239,1625,24.59521738
7.85,1030,0,110,83,320,20,66,77,670,23.88000699
7.96,683,0,82,66,260,26,47,35,444,24.30664042
8.01,870,0,78,49,255,18,51,60,566,22.18358381
7.89,743,0,46,18,245,36,38,55,483,23.14144365
8.18,1800,0,206,101,555,48,106,156,1170,23.99927076
7.4,1060,0,128,72,305,26,58,81,689,23.3749795
7.92,480,0,53,42,145,22,22,37,312,23.49135348
7.51,1140,0,135,56,395,12,89,56,741,22.64374695
7.35,1204,0,167,96,405,26,83,79,783,22.4214742
7.4,810,0,92,38,295,26,56,51,527,23.04447173
8.05,590,0,36,15,185,24,30,38,384,24.18647872
7.34,363,0,25,15,150,30,18,9,236,23.27485262
7.44,440,0,14,22,180,38,21,15,286,23.39798537
7.36,712,0,60,82,255,64,23,39,463,24.44502127
7.22,954,0,75,65,345,42,58,51,620,23.19623138
7.3,634,0,25,19,205,58,15,46,412,23.57532615
7.31,1448,0,160,87,360,42,62,136,941,24.53421048
7.67,434,0,14,22,165,26,24,17,282,24.72049779
7.9,281,0,11,12,105,26,10,13,183,22.31608437
7.5,1213,0,178,41,350,54,52,101,788,24.87597808
7.53,617,0,18,28,250,34,40,24,401,22.12012851
7.3,1240,0,117,41,420,24,87,68,806,22.34051329
7.73,536,0,28,22,205,22,36,25,348,24.25730902
7.53,634,0,50,21,210,26,35,44,412,24.61940596
7.09,1673,0,220,51,500,34,101,126,1087,22.46537878
7.1,1643,0,199,79,495,40,96,119,1068,22.72448368
7.4,976,0,107,68,340,40,58,60,634,23.57070445
7.64,572,0,75,68,200,38,26,35,372,22.26677625
7.36,1443,0,192,98,470,104,51,98,938,24.01524012
7.5,608,0,18,52,235,26,41,25,395,23.08963519
7.32,1190,0,124,64,370,48,61,78,774,22.7113963
7.29,1142,0,96,67,355,48,57,80,742,22.60655451
7.29,1428,0,156,71,470,34,94,84,928,22.91237852
7.28,1453,0,185,59,435,28,89,110,944,24.93444024
7.37,1519,0,163,81,475,66,75,109,987,22.33588277
7.33,1087,0,64,43,295,24,57,90,707,22.24242695
7.25,1310,0,131,61,480,44,90,65,852,22.94937849
7.37,666,0,25,13,260,26,47,28,433,22.14709734
7.83,337,0,14,7.66,120,14,21,18,219,23.63379684
7.25,1304,0,103,22,425,32,84,99,848,23.79273756
7.21,2380,0,188,89,625,48,123,199,1547,23.71959493
7.41,870,0,28,23,235,12,50,84,566,24.27488098
7.29,579,0,14,11,245,20,47,15,376,24.69041422
7.38,855,0,75,56,290,24,56,56,556,24.68180198
7.37,758,0,28,7.53,320,28,61,21,493,23.1356291
7.43,1130,0,128,84,340,22,69,78,735,24.37200874
7.67,467,0,14,12,200,36,27,12,304,23.66997635
7.66,424,0,14,16,150,24,22,26,276,23.18084855
7.43,625,0,28,16,275,36,45,12,406,24.60827969
7.46,505,0,21,14,220,26,38,13,328,23.08844357
7.47,645,0,25,16,275,22,53,17,419,24.65817537
7.41,695,0,18,8.7,295,38,49,20,452,22.60311255
7.44,739,0,28,26,260,22,50,41,480,23.69707196
7.39,779,0,21,7.41,295,24,57,36,506,24.34695617
7.69,929,0,117,65,325,24,64,52,604,22.1464464
7.51,1312,0,160,85,525,40,103,50,853,22.03792158
7.5,903,0,25,18,390,28,78,25,587,24.73384966
7.34,1419,0,131,98,440,46,79,98,922,24.91427625
7.48,743,0,28,31,340,28,66,12,483,23.49334091
