STATE,DISTRICT,BLOCK,LOCATION,Latitude,Longitude,Year,pH,EC,CO3,Cl,SO4,TH,Ca,Mg,Na,TDS,Temperature,St Temp,St Ph,St Ec,St CO3,St CL,St SO4,St TH,St CA,St Mg,St Na,St TDS,WQI
Arunachal Pradesh,Changlang,Miao circle,Namphai,27.446084,96.10863,2021,7.88,114.7,0,3.545,2.09,75,6,14.56,1.3,61.1,23.23817487,25,8.5,300,250,250,250,500,75,30,200,500,25.13727571
Arunachal Pradesh,Changlang,Miao circle,Namchik,27.414577,95.971986,2021,7.79,122,0,14.18,10.36,70,12.01,9.7,2.93,64.77,24.99627986,25,8.5,300,250,250,250,500,75,30,200,500,25.4454654
Arunachal Pradesh,Lower Dibang valley,Roing,Kangklong,27.97171,95.75741,2021,7.71,207.9,0,10.635,14.9,45,16.01,1.21,14.23,109.1,30.43686348,25,8.5,300,250,250,250,500,75,30,200,500,28.3554352
Arunachal Pradesh,Tirap,Khonsa circle,Deomali,27.196588,95.462758,2021,7.49,146.4,0,17.725,13.67,65,8.01,10.92,6.82,77.5,22.18201296,25,8.5,300,250,250,250,500,75,30,200,500,23.79479259
Arunachal Pradesh,Lohit,Namsai circle,Lathow,27.73948,95.909805,2021,7.39,47.35,0,10.635,3.05,30,10.01,1.21,15.91,25.09,22.56858986,25,8.5,300,250,250,250,500,75,30,200,500,15.80769934
Arunachal Pradesh,Tirap,Khonsa circle,Borduria,27.115189,95.413139,2021,7.36,44.2,0,17.725,2.75,45,6,7.28,1.76,23.17,31.83712191,25,8.5,300,250,250,250,500,75,30,200,500,20.09568069
Arunachal Pradesh,Tirap,Khonsa circle,Hukanjuri,27.125802,95.437686,2021,7.05,112.4,0,60.265,8.01,155,6,33.98,7.06,59.51,24.29947799,25,8.5,300,250,250,250,500,75,30,200,500,30.27332533
Assam,East Kaarbi-Anglong,Raha,Swarghati,26.2027778,93.10638889,2021,8.77,337.9,12,28.36,0,185,48.04,15.75,18.59,196.6,26.56277305,25,8.5,300,250,250,250,500,75,30,200,500,50.47243262
Assam,Nagaon,Kathiatoli,Kathiatoli,26.1880556,92.70277778,2021,8.76,505.4,9,77.99,45.24,205,46.04,21.82,48.6,297.2,21.52237307,25,8.5,300,250,250,250,500,75,30,200,500,62.14922657
Assam,Kamrup    Metro,NorthGuwahati,Dirgheswari,26.2388889,91.73994444,2021,8.72,369.7,15,53.175,18.91,205,34.03,29.11,37.8,197.8,28.94568277,25,8.5,300,250,250,250,500,75,30,200,500,57.30758161
Assam,Karbi Anglong,Bokajan,Terangaon,26.0225,93.38177778,2021,8.7,246,6,14.18,8.31,145,44.04,8.47,11.53,142.5,24.96603468,25,8.5,300,250,250,250,500,75,30,200,500,41.52834594
Assam,East Kaarbi-Anglong,Howraghat,Langhing,26.2027778,93.13333333,2021,8.7,249.1,6,28.36,10.54,120,32.03,9.69,27.62,144.2,22.43508992,25,8.5,300,250,250,250,500,75,30,200,500,40.52033573
Assam,Nagaon,Lanka,Lumding,25.758808,93.17457,2021,8.68,540.2,21,38.995,26.02,220,44.04,26.68,45.14,311.4,28.96979756,25,8.5,300,250,250,250,500,75,30,200,500,65.35047184
Assam,East Kaarbi-Anglong,Samelangso,Dokmoka,26.2083333,93.06555556,2021,8.68,197.8,12,10.635,7.66,110,36.03,4.84,25.42,114.8,31.70858191,25,8.5,300,250,250,250,500,75,30,200,500,39.88445403
Assam,East Kaarbi-Anglong,Howraghat,Manikpur,26.2497222,93.14638889,2021,8.66,474.3,15,49.63,9.72,140,26.02,18.19,65.7,276.4,22.38595976,25,8.5,300,250,250,250,500,75,30,200,500,54.50065203
Assam,Kamrup,Bejera,Dhobartari,26.2481944,91.69025,2021,8.66,449.5,12,155.98,12.12,175,52.04,10.9,78.92,240.8,26.07038212,25,8.5,300,250,250,250,500,75,30,200,500,60.46922986
Assam,Nagaon,Samulguri,Pahukata,26.4019444,92.80916667,2021,8.64,728.1,21,88.625,21.69,330,56.04,46.09,48.68,423.5,21.44896468,25,8.5,300,250,250,250,500,75,30,200,500,81.24986594
Assam,Nagaon,Brahmpur,Bamuni Tinali,26.2952778,92.7925,2021,8.64,312.1,6,38.995,20.39,105,30.02,7.27,21.72,182.1,24.09570523,25,8.5,300,250,250,250,500,75,30,200,500,42.5857716
Assam,Nagaon,Nagaon,Telia bebejia,26.4411111,92.64,2021,8.62,286.6,12,24.815,11.56,130,36.03,9.69,24.92,165,21.674839,25,8.5,300,250,250,250,500,75,30,200,500,41.94388085
Assam,Morigaon,Mayong,Silsang Namghar,26.1216667,92.3508333,2021,8.59,214.5,3,24.815,11.13,120,28.02,12.12,2.41,121.1,28.60101598,25,8.5,300,250,250,250,500,75,30,200,500,39.51518763
Assam,Kamrup,Hajo,Sualkuchi,26.1674444,91.57083333,2021,8.54,1143,18,145.35,4.8,430,72.06,60.64,95.88,607,29.46039588,25,8.5,300,250,250,250,500,75,30,200,500,111.120144
Assam,East Kaarbi-Anglong,Howraghat,Phuloni,26.1708333,93.13666667,2021,8.53,500.2,12,53.175,30.45,255,48.04,32.74,44.01,297.5,26.6551123,25,8.5,300,250,250,250,500,75,30,200,500,65.39049538
Assam,Nagaon,Kaliabor,Silghat,26.6069444,92.92916667,2021,8.49,410.4,15,28.36,21.19,225,52.04,23.03,28.68,240.1,22.87577082,25,8.5,300,250,250,250,500,75,30,200,500,55.17906818
Assam,Goalpara,Rongjuli,Rajapara,25.9458333,91.11333333,2021,8.48,348.1,6,17.725,1.29,105,26.02,9.7,52.11,185,21.53930074,25,8.5,300,250,250,250,500,75,30,200,500,41.99498815
Assam,Karbi Anglong,Bokajan,Amlokhi,25.9538889,93.48861111,2021,8.45,1058,6,138.255,19.41,255,32.03,42.46,176.72,629.7,31.47133331,25,8.5,300,250,250,250,500,75,30,200,500,99.11133332
Assam,Nagaon,Lanka,Lanka,26.1880556,92.73611111,2021,8.45,111.2,9,113.44,5.09,230,24.02,41.25,54.79,64.15,29.22420449,25,8.5,300,250,250,250,500,75,30,200,500,50.67216527
